카테고리,제목,저자,정가,할인가,이미지
[국내도서],자유민주주의에 무슨 일이 일어났는가?,"대런 아세모글루 (지은이), 김승진 (옮긴이) | 생각의힘 | 2026년 8월","28,800","25,920원","['https://image.aladin.co.kr/product/40000/88/SpineShelf/K062130036_d.jpg', 'https://image.aladin.co.kr/product/40000/88/cover200/k062130036_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],품격 있는 대화를 위한 지식 브리핑,김진 (지은이) | 북플레저 | 2026년 4월,"25,000","22,500원","['https://image.aladin.co.kr/product/39244/75/SpineShelf/K782138107_d.jpg', 'https://image.aladin.co.kr/product/39244/75/cover200/k782138107_2.jpg']"
[국내도서],김재우의 기본 동사 100,김재우 (지은이) | 상상스퀘어 | 2025년 12월,"22,000","19,800원","['https://image.aladin.co.kr/product/37968/89/SpineShelf/K922034869_d.jpg', 'https://image.aladin.co.kr/product/37968/89/cover200/k922034869_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],명상록 (그리스어 원전 완역본),"마르쿠스 아우렐리우스 (지은이), 박문재 (옮긴이) | 현대지성 | 2018년 4월","12,000","10,800원","['https://image.aladin.co.kr/product/13913/34/SpineShelf/K682532424_d.jpg', 'https://image.aladin.co.kr/product/13913/34/cover200/k682532424_3.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],일리아스,"호메로스 (지은이), 천병희 (옮긴이) | 도서출판 숲 | 2015년 6월","38,000","34,200원","['https://image.aladin.co.kr/product/87/76/SpineShelf/S722036391_d.jpg', 'https://image.aladin.co.kr/product/87/76/cover200/s722036391_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],2027 심슨 문법,심우철 (지은이) | 공단기(에스티유니타스) | 2026년 6월,"17,000","15,300원",['https://image.aladin.co.kr/product/39641/26/cover200/k302130177_1.jpg']
[국내도서],일러스트로 보는 영국 건축의 언어,"매튜 라이스 (지은이), 정상희 (옮긴이) | 한즈미디어(한스미디어) | 2023년 7월","7,000","6,300원","['https://image.aladin.co.kr/product/32100/27/SpineShelf/K352834000_d.jpg', 'https://image.aladin.co.kr/product/32100/27/cover200/k352834000_1.jpg']"
[국내도서],자화상,"에두아르 르베 (지은이), 정영문 (옮긴이) | 은행나무 | 2026년 8월","15,000","13,500원","['https://image.aladin.co.kr/product/39978/64/SpineShelf/S392130733_d.jpg', 'https://image.aladin.co.kr/product/39978/64/cover200/k022130626_2.jpg']"
[국내도서],전범선의 한국사 테라피,"22,000원 → 19,800원 (10%할인),  마일리지 220원",8.0,"19,800원","['https://image.aladin.co.kr/product/38793/34/SpineShelf/K922137266_d.jpg', 'https://image.aladin.co.kr/product/38793/34/cover200/k922137266_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],"내가 연인이 될 수 있을 리 없잖아, 무리무리! (※무리가 아니었다?!) 8","10,500원 → 9,450원 (10%할인),  마일리지 520원","5,960","9,450원","['https://image.aladin.co.kr/product/40022/51/SpineShelf/K952130334_d.jpg', 'https://image.aladin.co.kr/product/40022/51/cover200/k952130334_1.jpg']"
[국내도서],누나의 친구 4,타카세 와카 (지은이) | 학산문화사(만화) | 2026년 8월,"6,000","5,400원",['https://image.aladin.co.kr/product/40013/68/cover200/k582130131_1.jpg']
[국내도서],패밀리 레스토랑 가자. 下,"와야마 야마 (지은이), 현승희 (옮긴이) | 문학동네 | 2026년 6월","8,500","7,650원","['https://image.aladin.co.kr/product/39610/32/cover200/k982130876_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],불안,"알랭 드 보통 (지은이), 정영목 (옮긴이) | 은행나무 | 2011년 12월","18,000","16,200원","['https://image.aladin.co.kr/product/1435/6/SpineShelf/8956605599_d.jpg', 'https://image.aladin.co.kr/product/1435/6/cover200/8956605599_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],원피스 114,오다 에이치로 (지은이) | 대원씨아이(만화) | 2026년 6월,"6,500","5,850원","['https://image.aladin.co.kr/product/39594/64/SpineShelf/K242130663_d.jpg', 'https://image.aladin.co.kr/product/39594/64/cover200/k242130663_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
